label,session,dz,fwd,tercile,n,edge,wr,score,mom_avg,spread_atr,mode
NDX->GDAXI,Tokyo,3.0,1,ALL,402,0.005528270496593727,0.48756218905472637,0.11084147880090052,0.15164351613646476,0.96,vega
NDX->GDAXI,Tokyo,3.0,1,Low,134,-0.009732808759869345,0.4701492537313433,-0.11266540681029553,-0.05246709353047144,0.96,vega
NDX->GDAXI,Tokyo,3.0,1,Mid,135,-0.0828260631731606,0.4,-0.9623518899047233,0.07713537770351701,0.96,vega
NDX->GDAXI,Tokyo,3.0,1,High,133,0.11058706497616431,0.5939849624060151,1.2753522489985416,0.432917353608776,0.96,vega
NDX->GDAXI,London,2.0,1,ALL,1502,-0.07155347429653815,0.47470039946737685,-2.773101030475779,0.13488258250998597,0.96,vega
NDX->GDAXI,London,2.0,1,Low,496,-0.07812504884149046,0.47580645161290325,-1.7399274511360219,-0.06350483434927094,0.96,vega
NDX->GDAXI,London,2.0,1,Mid,510,-0.04027368974397239,0.492156862745098,-0.9095079678885781,0.059323841991779265,0.96,vega
NDX->GDAXI,London,2.0,1,High,496,-0.09714458144878045,0.45564516129032256,-2.1635125545302327,0.41096144627304415,0.96,vega
NDX->GDAXI,London,3.0,1,ALL,583,-0.09641056799923771,0.46826758147512865,-2.3278710474569846,0.14674793581503134,0.96,vega
NDX->GDAXI,London,3.0,1,Low,193,-0.12403976873464109,0.48704663212435234,-1.7232155396103084,-0.058961720095379734,0.96,vega
NDX->GDAXI,London,3.0,1,Mid,198,-0.056248671134835546,0.4696969696969697,-0.7914889606798736,0.07491826267184117,0.96,vega
NDX->GDAXI,London,3.0,1,High,192,-0.1100544213180855,0.4479166666666667,-1.5249587945641236,0.427603346612224,0.96,vega
NDX->GDAXI,NY,2.0,1,ALL,777,-0.019975559449526316,0.4453024453024453,-0.5568131210961647,0.12895903807322226,0.96,vega
NDX->GDAXI,NY,2.0,1,Low,257,-0.042065220514062654,0.42412451361867703,-0.6743567851385915,-0.06807825799195436,0.96,vega
NDX->GDAXI,NY,2.0,1,Mid,263,-0.03617132506164067,0.4372623574144487,-0.5866003162426798,0.05784880923391876,0.96,vega
NDX->GDAXI,NY,2.0,1,High,257,0.018687978486551175,0.47470817120622566,0.29959108591185835,0.3987667239622776,0.96,vega
NDX->GDAXI,NY,3.0,1,ALL,301,0.01911218130573659,0.4750830564784053,0.3315839527981828,0.16434948110216013,0.96,vega
NDX->GDAXI,NY,3.0,1,Low,100,0.005532793696134016,0.45,0.05532793696134016,-0.04988058638796195,0.96,vega
NDX->GDAXI,NY,3.0,1,Mid,102,0.0013107580640399292,0.47058823529411764,0.01323800754076918,0.09216773826662357,0.96,vega
NDX->GDAXI,NY,3.0,1,High,99,0.05116959475637617,0.5050505050505051,0.5091310394443106,0.4551125570439475,0.96,vega
NDX->NI225,Tokyo,2.0,1,ALL,1396,-0.05619891712699333,0.4799426934097421,-2.099764826736638,0.19246413450052052,1.73,vega
